DOC. ID    | DOC. PATH                                          
1          | input/A9.xml                                       
2          | input/A90.xml                                      
3          | input/A900.xml                                     
4          | input/A901.xml                                     
5          | input/A902.xml                                     
6          | input/A903.xml                                     
7          | input/A904.xml                                     
8          | input/A905.xml                                     
9          | input/A906.xml                                     
10         | input/A907.xml                                     
11         | input/A908.xml                                     
12         | input/A909.xml                                     
13         | input/A91.xml                                      
14         | input/A910.xml                                     
15         | input/A911.xml                                     
16         | input/A912.xml                                     
17         | input/A913.xml                                     
18         | input/A914.xml                                     
19         | input/A915.xml                                     
20         | input/A916.xml                                     
21         | input/A92.xml                                      
22         | input/A921.xml                                     
23         | input/A922.xml                                     
24         | input/A923.xml                                     
25         | input/A924.xml                                     
26         | input/A926.xml                                     
27         | input/A927.xml                                     
28         | input/A928.xml                                     
29         | input/A929.xml                                     
30         | input/A93.xml                                      
31         | input/A930.xml                                     
32         | input/A94.xml                                      
33         | input/A95.xml                                      
34         | input/A96.xml                                      
35         | input/A97.xml                                      
36         | input/A98.xml                                      
37         | input/Camilo-Amor_de_Perdicao-ospl.txt             
38         | input/teste.txt                                    
39         | input/teste2.txt                                   

TERM                 | DOC. FREQUENCY | POSTING LIST                   
desespero            | 1              | [37]                           
desfalecida          | 1              | [37]                           
desfalecimento       | 1              | [37]                           
desfaleco            | 1              | [37]                           
desfalque            | 1              | [37]                           
desfasado            | 1              | [2]                            
desfazer-se          | 1              | [19]                           
desfazerem-se        | 1              | [37]                           
desfecho             | 1              | [37]                           
desfecho-lha         | 1              | [37]                           
desfechou            | 1              | [37]                           
desfiguracao         | 1              | [37]                           
desfiles             | 1              | [2]                            
desfitou             | 1              | [37]                           
desfizera-se         | 1              | [37]                           
desfizeram           | 1              | [37]                           
desfolhados          | 1              | [37]                           
desforco             | 1              | [37]                           
desforra             | 1              | [37]                           
desforrar-se         | 1              | [37]                           
desgarrar            | 1              | [37]                           
desgostar            | 1              | [37]                           
desgosto             | 1              | [37]                           
desgostos            | 1              | [37]                           
desgostoso           | 1              | [37]                           
desgovernado         | 1              | [19]                           
desgraca             | 1              | [37]                           
desgracada           | 1              | [37]                           
desgracadamente      | 1              | [37]                           
desgracado           | 1              | [37]                           
desgracados          | 1              | [37]                           
desgracas            | 1              | [37]                           
desgracioso          | 1              | [37]                           
designacao           | 2              | [17, 31]                       
designada            | 1              | [2]                            
designadamente       | 2              | [16, 36]                       
designados           | 1              | [33]                           
designio             | 1              | [37]                           
desigual             | 1              | [37]                           
desigualdade         | 1              | [33]                           
desiludida           | 1              | [37]                           
desilusao            | 2              | [19, 37]                       
desinteressadamente  | 1              | [37]                           
desiste              | 2              | [2, 26]                        
desistem             | 1              | [2]                            
desistiu             | 1              | [37]                           
deslacar             | 1              | [37]                           
desleal              | 1              | [37]                           
desloca              | 1              | [29]                           
desloca-se           | 1              | [2]                            
deslocar             | 2              | [17, 31]                       
deslocara            | 1              | [37]                           
deslocaram           | 1              | [15]                           
deslocou-se          | 1              | [18]                           
desluzida            | 1              | [37]                           
desmantelada         | 1              | [2]                            
desmedrou            | 1              | [37]                           
desmente             | 1              | [2]                            
desmentiam           | 1              | [37]                           
desmentir            | 1              | [37]                           
desminar             | 1              | [15]                           
desmoulins           | 1              | [37]                           
desnecessarias       | 1              | [2]                            
desnorteado          | 1              | [37]                           
desobedece           | 1              | [37]                           
desobedeceria        | 1              | [37]                           
desobedecesse        | 1              | [37]                           
desobedeco           | 1              | [37]                           
desobediencia        | 1              | [37]                           
desobediente         | 1              | [37]                           
desonra              | 1              | [37]                           
desonrado            | 1              | [37]                           
desonram             | 1              | [37]                           
desoras              | 1              | [37]                           
desordem             | 1              | [37]                           
desordenada          | 1              | [37]                           
desordens            | 1              | [37]                           
despe                | 1              | [2]                            
despedacar           | 1              | [37]                           
despedida            | 1              | [37]                           
despedimento         | 1              | [2]                            
despedimentos        | 1              | [2]                            
despedindo-se        | 1              | [37]                           
despedir-se          | 1              | [37]                           
despedira-se         | 1              | [37]                           
despediu             | 1              | [37]                           
despediu-se          | 1              | [37]                           
despeito             | 1              | [37]                           
despeitosas          | 1              | [37]                           
despendidas          | 1              | [33]                           
despersuadi-lo       | 1              | [37]                           
despersuadiu         | 1              | [37]                           
desperta             | 1              | [37]                           
despertador          | 1              | [37]                           
despertando          | 1              | [2]                            
despertar            | 1              | [37]                           
despertou            | 1              | [37]                           
despesa              | 1              | [37]                           
despesas             | 2              | [33, 37]                       
despicando           | 1              | [37]                           
despiciendos         | 1              | [33]                           
desporto             | 2              | [17, 31]                       
desprazia            | 1              | [37]                           
desprender-se        | 2              | [11, 37]                       
desprezando          | 1              | [37]                           
desprezo             | 1              | [37]                           
desprezou-as         | 1              | [37]                           
desprimorando-lhe    | 1              | [37]                           
desproposito         | 1              | [37]                           
desprovido           | 1              | [37]                           
desprovidos          | 1              | [37]                           
dessem               | 1              | [37]                           
destaca              | 1              | [16]                           
destacada            | 1              | [29]                           
destacado            | 1              | [37]                           
destacam             | 1              | [16]                           
destacam-se          | 1              | [2]                            
destacar             | 1              | [32]                           
destacar-se          | 1              | [2]                            
destaque             | 5              | [1, 13, 27, 29, 32]            
deste-me             | 1              | [37]                           
desterrado           | 1              | [37]                           
desterraram          | 1              | [37]                           
desterro             | 1              | [37]                           
destilacao           | 1              | [37]                           
destinada            | 2              | [2, 37]                        
destinado            | 3              | [2, 4, 36]                     
destinar-lhe         | 1              | [37]                           
destino              | 2              | [2, 37]                        
destituicao          | 1              | [5]                            
destituidos          | 1              | [5]                            
destreza             | 1              | [37]                           
destruimos           | 1              | [7]                            
desumanidade         | 1              | [37]                           
desusadas            | 1              | [37]                           
desvairadamente      | 1              | [37]                           
desvairadas          | 1              | [37]                           
desvaloriza          | 1              | [2]                            
desvanecela          | 1              | [37]                           
desvaneceram         | 1              | [37]                           
desvelara            | 1              | [37]                           
desvelava            | 1              | [37]                           
desvelos             | 1              | [37]                           
desviar              | 1              | [37]                           
desviar-lhe          | 1              | [37]                           
detem                | 2              | [1, 13]                        
detenca              | 1              | [37]                           
detenha              | 1              | [33]                           
determina            | 1              | [37]                           
determinadas         | 2              | [18, 37]                       
determinado          | 1              | [35]                           
determinante         | 1              | [2]                            
determino            | 1              | [37]                           
detesto              | 1              | [37]                           
deteve               | 1              | [21]                           
detida               | 3              | [1, 3, 13]                     
detidas              | 4              | [1, 13, 33, 36]                
detido               | 2              | [1, 13]                        
detidos              | 1              | [6]                            
detivera             | 1              | [37]                           
detiveram            | 1              | [37]                           
detrabalhadores      | 1              | [2]                            
detracao             | 1              | [37]                           
detras               | 1              | [2]                            
detrimento           | 2              | [1, 13]                        
deu                  | 7              | [1, 5, 13, 14, 19, 34, 37]     
deu-a                | 1              | [37]                           
deu-lhe              | 1              | [37]                           
deu-me               | 1              | [37]                           
deu-o                | 1              | [37]                           
deu-se               | 1              | [37]                           
deus                 | 1              | [37]                           
deuses               | 1              | [37]                           
deutsche             | 1              | [28]                           
devam                | 1              | [33]                           
devassa              | 1              | [37]                           
devassar             | 1              | [37]                           
devassas             | 1              | [37]                           
devedoras            | 1              | [33]                           
devemos              | 1              | [37]                           
dever                | 2              | [18, 37]                       
deverao              | 1              | [33]                           
deveres              | 1              | [37]                           
deveria              | 2              | [2, 32]                        
deves                | 1              | [37]                           
devesas              | 1              | [37]                           
devia                | 1              | [37]                           
deviam               | 1              | [37]                           
devida               | 1              | [16]                           
devidamente          | 2              | [26, 33]                       
devido               | 3              | [4, 30, 33]                    
devo                 | 1              | [37]                           
devocao              | 1              | [37]                           
devolucao            | 1              | [33]                           
devora               | 1              | [37]                           
devorada             | 1              | [37]                           
devota               | 1              | [37]                           
devotas              | 1              | [37]                           
devoto               | 1              | [37]                           
dezembro             | 3              | [15, 27, 33]                   
dezenove             | 1              | [37]                           
dezesseis            | 1              | [37]                           
dezessete            | 1              | [37]                           
dgci                 | 1              | [33]                           
di                   | 1              | [27]                           
di-lo-ieis           | 1              | [37]                           
diabo                | 2              | [2, 37]                        
diabolico            | 1              | [37]                           
diabos               | 1              | [37]                           
diacho               | 1              | [37]                           
dialogando           | 1              | [37]                           
dialogar             | 1              | [11]                           
dialogo              | 2              | [16, 37]                       
dialogos             | 2              | [1, 13]                        
diamantes            | 1              | [15]                           
diario               | 2              | [33, 34]                       
dias                 | 12             | [2, 3, 7, 8, 12, 15, 16, 20, 22, 27, 32, 37] 
difamador            | 1              | [37]                           
difamalos            | 1              | [37]                           
diferenca            | 3              | [33, 35, 37]                   
diferente            | 3              | [7, 28, 33]                    
diferentes           | 5              | [7, 15, 16, 30, 37]            
dificeis             | 1              | [37]                           
dificil              | 4              | [2, 19, 33, 37]                
dificuldade          | 5              | [2, 19, 32, 34, 37]            
dificuldades         | 2              | [2, 20]                        
dificulta            | 2              | [1, 13]                        
diga                 | 3              | [7, 19, 37]                    
diga-lhe             | 1              | [37]                           
digam                | 1              | [37]                           
digas                | 1              | [37]                           
digeria              | 1              | [37]                           
digestao             | 1              | [37]                           
digesto              | 1              | [37]                           
digital              | 1              | [29]                           
digitos              | 1              | [35]                           
digna                | 1              | [37]                           
dignamente           | 1              | [37]                           
dignas               | 1              | [37]                           
dignidade            | 2              | [5, 37]                        
digno                | 1              | [37]                           
dignos               | 1              | [37]                           
digo                 | 3              | [17, 31, 37]                   
digo-lhe             | 1              | [37]                           
digo-lho             | 1              | [37]                           
dilacerantes         | 1              | [37]                           
diligencia           | 1              | [37]                           
diligencias          | 2              | [2, 37]                        
dimensao             | 2              | [1, 13]                        
dimensoes            | 2              | [1, 13]                        
diminui              | 1              | [37]                           
diminuicao           | 1              | [4]                            
diminuiram           | 2              | [20, 35]                       
diminuiu             | 2              | [17, 31]                       
diminutivo           | 1              | [37]                           
dinamarca            | 1              | [7]                            
dinamica             | 3              | [1, 13, 21]                    
dinamico             | 1              | [35]                           
dinamizacao          | 1              | [2]                            
dinastica            | 1              | [37]                           
dinheiro             | 5              | [2, 17, 31, 32, 37]            
dinheiroso           | 1              | [37]                           
diocese              | 1              | [33]                           
diogo                | 1              | [18]                           
dionisia             | 1              | [37]                           
diploma              | 2              | [2, 3]                         
diplomas             | 1              | [3]                            
diplomata            | 2              | [2, 37]                        
dir-se-a             | 1              | [37]                           
dir-ta-ei            | 1              | [37]                           
dira                 | 1              | [37]                           
direcao              | 1              | [37]                           
direccao             | 6              | [5, 7, 17, 19, 29, 31]         
direccao-geral       | 2              | [6, 16]                        
direcoes             | 1              | [37]                           
directa              | 1              | [33]                           
directamente         | 2              | [15, 33]                       
directivos           | 1              | [5]                            
directo              | 1              | [35]                           
director             | 1              | [6]                            
direi                | 1              | [37]                           
direito              | 7              | [2, 4, 17, 22, 31, 33, 37]     
direitos             | 2              | [8, 37]                        
diria                | 2              | [2, 37]                        
dirigente            | 1              | [3]                            
dirigentes           | 3              | [2, 5, 16]                     
dirigi-la            | 1              | [37]                           
dirigido             | 3              | [20, 28, 36]                   
dirigindo-se         | 1              | [37]                           
dirigir              | 1              | [37]                           
dirigisse            | 1              | [37]                           
dirigiu-se           | 1              | [37]                           
discorda             | 1              | [16]                           
discordando          | 2              | [4, 19]                        
discordia            | 1              | [37]                           
discorrendo          | 1              | [37]                           
discorrer            | 1              | [37]                           
discorrera           | 1              | [37]                           
discreta             | 2              | [1, 13]                        
discreto             | 1              | [37]                           
discricao            | 1              | [37]                           
discursa             | 1              | [2]                            
discursarem          | 1              | [2]                            
discurso             | 1              | [37]                           
discursos            | 1              | [37]                           
discussao            | 4              | [2, 7, 34, 37]                 
discute-se           | 1              | [2]                            
discutindo           | 1              | [37]                           
discutir             | 1              | [2]                            
discutivel           | 1              | [33]                           
discuto              | 1              | [37]                           
disfarcada           | 1              | [37]                           
disforme             | 1              | [37]                           
dispara              | 2              | [2, 15]                        
disparados           | 1              | [2]                            
disparar             | 1              | [18]                           
disparate            | 1              | [37]                           
disparidade          | 1              | [16]                           
disparo              | 1              | [18]                           
dispendiosa          | 1              | [37]                           
dispensa             | 1              | [33]                           
dispensa-os          | 1              | [37]                           
dispensadas          | 1              | [33]                           
dispensados          | 1              | [2]                            
dispensando          | 1              | [37]                           
dispensava           | 1              | [37]                           
dispenso             | 1              | [37]                           
dispenso-o           | 1              | [37]                           
dispersao            | 2              | [1, 13]                        
displicente          | 1              | [11]                           
dispoe               | 1              | [2]                            
disponha             | 1              | [33]                           
disponham            | 1              | [33]                           
disponibilidade      | 1              | [3]                            
disponibilizacao     | 1              | [6]                            
disponibilizar       | 1              | [36]                           
disponiveis          | 6              | [1, 13, 17, 18, 21, 31]        
disponivel           | 2              | [27, 35]                       
dispos-se            | 1              | [37]                           
disposicao           | 1              | [29]                           
disposta             | 2              | [12, 37]                       
disposto             | 3              | [17, 31, 37]                   
disputa              | 1              | [37]                           
disputam             | 1              | [12]                           
dissabor             | 1              | [37]                           
disse                | 9              | [2, 4, 8, 9, 16, 18, 19, 35, 37] 
disse-lhe            | 1              | [37]                           
disse-lhes           | 1              | [37]                           
disse-me             | 1              | [37]                           
disse-mo             | 1              | [37]                           
disse-se             | 1              | [12]                           
disser               | 1              | [37]                           
dissera              | 1              | [37]                           
disseram             | 2              | [18, 37]                       
dissesse             | 1              | [37]                           
dissessem            | 1              | [37]                           
dissesses            | 1              | [37]                           
disseste             | 1              | [37]                           
dissimula            | 1              | [37]                           
dissimulada          | 1              | [37]                           
dissimular-se        | 1              | [37]                           
dissipadora          | 1              | [37]                           
disso                | 7              | [1, 2, 4, 8, 13, 15, 37]       
dissuadi-lo          | 1              | [37]                           
distancia            | 2              | [2, 37]                        
distante             | 1              | [37]                           
distender-lhe        | 1              | [37]                           
distendeu            | 1              | [37]                           
distendiam           | 1              | [37]                           
distincao            | 1              | [37]                           
distinguisse         | 1              | [37]                           
distintamente        | 1              | [37]                           
distintas            | 1              | [37]                           
distintissima        | 1              | [37]                           
distinto             | 1              | [37]                           
disto                | 1              | [37]                           
distraia             | 1              | [37]                           
distraido            | 1              | [37]                           
distribuicao         | 3              | [14, 18, 33]                   
distribuida          | 1              | [15]                           
distribuidoras       | 1              | [33]                           
distribuidos         | 1              | [33]                           
distribuir           | 1              | [37]                           
distrital            | 2              | [17, 31]                       
distrito             | 1              | [16]                           
disturbios           | 1              | [2]                            
ditado               | 1              | [37]                           
ditadura             | 1              | [2]                            
ditaduras            | 1              | [2]                            
ditames              | 1              | [37]                           
dito                 | 2              | [7, 37]                        
ditosa               | 1              | [37]                           
ditoso               | 1              | [37]                           
ditosos              | 1              | [27]                           
divergencias         | 1              | [14]                           
diversa              | 1              | [37]                           
diversao             | 1              | [37]                           
diversas             | 3              | [7, 18, 26]                    
diversoes            | 1              | [37]                           
divertir-se          | 1              | [15]                           
divertirem-lhe       | 1              | [37]                           
divida               | 2              | [35, 37]                       
dividas              | 1              | [37]                           
divide               | 1              | [22]                           
dividendos           | 1              | [33]                           
divididas            | 2              | [17, 31]                       
dividir              | 2              | [1, 13]                        
dividiram            | 1              | [20]                           
divina               | 1              | [37]                           
divine               | 1              | [23]                           
divisao              | 5              | [1, 13, 17, 20, 31]            
divisara             | 1              | [37]                           
divisoes             | 2              | [2, 14]                        
divorciado           | 1              | [37]                           
divorcio             | 1              | [2]                            
divulgacao           | 1              | [2]                            
divulgadas           | 1              | [7]                            
divulgado            | 1              | [35]                           
divulgados           | 1              | [35]                           
divulgalas           | 1              | [35]                           
divulgam             | 1              | [2]                            
diz-lhe              | 1              | [37]                           
diz-me               | 1              | [37]                           
diz-se               | 5              | [1, 2, 13, 14, 34]             
dize-lho             | 1              | [37]                           
dize-me              | 1              | [37]                           
dizendo              | 3              | [7, 14, 37]                    
dizendo-lhe          | 1              | [37]                           
dizer-lhe            | 1              | [37]                           
dizer-se             | 1              | [37]                           
dizerem              | 1              | [14]                           
dizes                | 1              | [37]                           
dizia                | 4              | [1, 2, 13, 37]                 
dizia-lhe            | 1              | [37]                           
diziam               | 3              | [17, 31, 37]                   
dizias               | 1              | [37]                           
do                   | 1              | [37]                           
doa                  | 1              | [34]                           
doacao               | 1              | [37]                           
dobra                | 1              | [37]                           
dobrada              | 1              | [37]                           
dobrado              | 1              | [37]                           
dobrando             | 1              | [37]                           
dobravam             | 1              | [37]                           
dobre                | 1              | [37]                           
dobro                | 1              | [33]                           
dobrou-se            | 1              | [37]                           
doce                 | 1              | [37]                           
docente              | 1              | [20]                           
doces                | 1              | [37]                           
docil                | 1              | [37]                           
documentado          | 1              | [23]                           
documento            | 3              | [2, 20, 33]                    
documentos           | 2              | [20, 33]                       
docura               | 1              | [37]                           
doenca               | 1              | [37]                           
doente               | 2              | [27, 37]                       
doentes              | 1              | [33]                           
doentio              | 1              | [37]                           
doer                 | 1              | [34]                           
doi                  | 1              | [37]                           
doida                | 1              | [37]                           
doidivanas           | 1              | [37]                           
doido                | 1              | [37]                           
dolares              | 2              | [8, 15]                        
doloroso             | 1              | [37]                           
domicilio            | 1              | [33]                           
domina               | 2              | [2, 37]                        
dominante            | 1              | [28]                           
domingo              | 8              | [2, 10, 12, 17, 27, 28, 31, 37] 
domingos             | 1              | [37]                           
dominicanas          | 1              | [37]                           
dominio              | 5              | [7, 34, 35, 36, 37]            
dominios             | 1              | [37]                           
donas                | 1              | [2]                            
donatello            | 1              | [29]                           
donativos            | 1              | [33]                           
donde                | 1              | [37]                           
dono                 | 1              | [37]                           
donos                | 1              | [37]                           
dor                  | 1              | [37]                           
dora                 | 1              | [37]                           
doravante            | 1              | [2]                            
dores                | 1              | [37]                           
dorf                 | 1              | [23]                           
dorida               | 1              | [37]                           
dorme                | 1              | [37]                           
dormem               | 1              | [15]                           
dormindo             | 1              | [37]                           
dormir               | 1              | [37]                           
dormitorios          | 1              | [37]                           
dose                 | 1              | [20]                           
dotada               | 1              | [37]                           
dote                 | 1              | [37]                           
dotes                | 1              | [37]                           
dotou                | 1              | [37]                           
dou-lhe              | 1              | [37]                           
dou-te               | 1              | [37]                           
dourado              | 1              | [37]                           
douro                | 2              | [21, 37]                       
doutor               | 3              | [1, 13, 37]                    
doutra               | 1              | [37]                           
doutrinas            | 1              | [37]                           
doutro               | 1              | [37]                           
doutros              | 1              | [37]                           
dr                   | 2              | [19, 33]                       
dragoes              | 1              | [37]                           
drama                | 1              | [37]                           
du                   | 1              | [30]                           
dublin               | 1              | [29]                           
dum                  | 1              | [37]                           
duma                 | 1              | [37]                           
dumas                | 1              | [37]                           
dumping              | 2              | [1, 13]                        
duns                 | 1              | [37]                           
duplicidade          | 1              | [2]                            
duque                | 1              | [37]                           
duradoura            | 1              | [37]                           
durante              | 9              | [2, 7, 8, 18, 27, 29, 33, 35, 37] 
durao                | 3              | [16, 19, 32]                   
durar                | 1              | [37]                           
durezas              | 1              | [37]                           
duro                 | 1              | [37]                           
durou                | 2              | [3, 37]                        
duvida               | 1              | [37]                           
duvidas              | 4              | [2, 33, 34, 37]                
duvidava             | 1              | [37]                           
duvidou              | 1              | [37]                           
duzentos             | 1              | [37]                           
duzia                | 3              | [9, 15, 37]                    
e-finance            | 1              | [36]                           
e-mail               | 1              | [33]                           
eanes                | 1              | [2]                            
ebrio                | 1              | [37]                           
eclesial             | 1              | [14]                           
eclesiastica         | 1              | [37]                           
eclesiasticas        | 1              | [37]                           
eclipsava            | 1              | [37]                           
ecoem                | 1              | [2]                            
ecologicos           | 2              | [1, 13]                        
economia             | 11             | [2, 13, 19, 21, 30, 32, 33, 34, 35, 36, 37] 
economias            | 1              | [37]                           
economica            | 5              | [2, 21, 30, 34, 35]            
economicas           | 1              | [16]                           
economico            | 3              | [2, 27, 35]                    
economicos           | 3              | [2, 21, 35]                    
economista           | 1              | [2]                            
edicao               | 4              | [2, 19, 27, 29]                
edificante           | 1              | [37]                           
edificio             | 2              | [29, 37]                       
editar               | 1              | [27]                           
editoras             | 1              | [27]                           
editoriais           | 1              | [27]                           
editorial            | 2              | [20, 27]                       
edp                  | 1              | [18]                           
eduardo              | 1              | [28]                           
educacao             | 3              | [16, 20, 32]                   
educacional          | 1              | [20]                           
efectuada            | 3              | [17, 31, 33]                   
efectuadas           | 1              | [33]                           
efectuar             | 2              | [33, 34]                       
efeito               | 3              | [2, 35, 37]                    
efeitos              | 4              | [16, 17, 31, 33]               
efetivamente         | 1              | [37]                           
eficacia             | 1              | [37]                           
egoismo              | 1              | [37]                           
egua                 | 1              | [37]                           
ei-lo                | 1              | [2]                            
einstein             | 1              | [29]                           
eis-me               | 1              | [37]                           
eixo                 | 1              | [19]                           
el                   | 1              | [28]                           
elabora              | 1              | [20]                           
elaborado            | 1              | [2]                            
elaborem             | 1              | [2]                            
electrica            | 1              | [18]                           
electricidade        | 1              | [18]                           
electronico          | 1              | [7]                            
electronicos         | 1              | [7]                            
elefante             | 1              | [15]                           
elegante             | 1              | [37]                           
eleicao              | 1              | [37]                           
eleicoes             | 3              | [2, 5, 12]                     
eleitoral            | 1              | [11]                           
eleitos              | 1              | [12]                           
elementares          | 1              | [33]                           
elemento             | 2              | [17, 31]                       
elementos            | 5              | [2, 5, 17, 28, 31]             
elenco               | 1              | [33]                           
elevada              | 2              | [16, 36]                       
elevado              | 6              | [1, 6, 13, 16, 17, 31]         
elevar               | 2              | [17, 31]                       
eliminacao           | 3              | [1, 13, 33]                    
elite                | 2              | [2, 7]                         
elliot               | 1              | [2]                            
elogia               | 1              | [2]                            
emacou               | 1              | [37]                           
emaranhavam          | 1              | [37]                           
embaciados           | 1              | [37]                           
embaciou             | 1              | [37]                           
embaixador           | 1              | [2]                            
embalagem            | 1              | [20]                           
embalsama            | 1              | [37]                           
embalsamado          | 1              | [37]                           
embaralhadas         | 1              | [37]                           
embarcacao           | 1              | [37]                           
embarcado            | 1              | [15]                           
embarcou             | 1              | [37]                           
embargava            | 1              | [37]                           
embargo              | 1              | [37]                           
embarque             | 1              | [37]                           
embasbacado          | 1              | [2]                            
embicaria            | 1              | [37]                           
emblema              | 1              | [28]                           
emborcou             | 1              | [37]                           
emboscada            | 1              | [37]                           
embrenhara           | 1              | [37]                           
embrieguez           | 1              | [2]                            
embrulhado           | 1              | [15]                           
embrulho             | 1              | [37]                           
emenda               | 2              | [15, 37]                       
emergencia           | 3              | [1, 13, 18]                    
emergentes           | 2              | [1, 13]                        
emergi-lo            | 1              | [37]                           
emigrante            | 1              | [8]                            
